"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA
180	0,7849893	0,8011301	0,6951557	0,8488613	0,0704308	0,5442242	0,0818035	0,9797827	0,4233457	0,0467980	0,6511995	0,2601721	0,4589288	0,9261184	0,6561887	0,1490694
200	0,7748099	0,8094690	0,7136336	0,8632626	0,0669698	0,5238665	0,0828464	0,9466078	0,4465330	0,0511294	0,6674362	0,3156139	0,5206344	0,9618432	0,6950764	0,1296566
220	0,7671816	0,8763459	0,6640114	0,7911499	0,0503231	0,4586531	0,0944233	0,9723959	0,4444549	0,0468407	0,7386117	0,3490544	0,4344522	1,0194065	0,6660955	0,1128698
240	0,8261257	0,9103833	0,6394856	0,7791645	0,0579236	0,4380493	0,0931351	0,9903213	0,4393031	0,0686474	0,7327686	0,3649775	0,4842596	0,9708269	0,6696239	0,1176511
260	0,8095933	0,8882498	0,6668162	0,7243403	0,0603241	0,4031755	0,1076417	1,0371313	0,4221663	0,0753921	0,7591785	0,3231278	0,5280146	0,9835011	0,6835252	0,1182375
280	0,8042183	0,8433366	0,6298873	0,7747228	0,0570903	0,4289034	0,0823851	0,9462103	0,4000370	0,0695840	0,8273947	0,3242673	0,5169233	1,0111816	0,7306047	0,1079863
300	0,7539046	0,7943379	0,6548981	0,7505133	0,0415672	0,4460657	0,0682386	0,9486641	0,4283373	0,0690737	0,8395564	0,3541998	0,5075110	0,9935549	0,7257874	0,1010723
320	0,8212045	0,8527698	0,7021978	0,7950724	0,0366941	0,4528223	0,0647561	1,0288079	0,4446861	0,0674290	0,8148705	0,3440131	0,4986069	1,0565490	0,6695504	0,1262250
340	0,8159203	0,8878715	0,6272546	0,8757406	0,0360043	0,4523527	0,0658060	1,0492678	0,4007479	0,0666341	0,8590002	0,3310729	0,4991989	1,0493388	0,7215948	0,1202328
360	0,7713963	0,8367185	0,6822181	0,8506431	0,0350762	0,4438181	0,0623598	1,0670346	0,4418792	0,0680169	0,9206143	0,3536395	0,5169035	1,0359273	0,7998328	0,1212454
380	0,7378618	0,8411848	0,6942965	0,9125607	0,0346742	0,4499740	0,0627085	0,9982430	0,4234798	0,0593237	0,9325524	0,3485820	0,4822368	0,9681682	0,7502074	0,1408117
400	0,6957593	0,8246706	0,6015863	0,8759091	0,0388345	0,4832439	0,0686535	1,0496971	0,4161403	0,0800906	0,8624890	0,3141071	0,4679578	0,9324558	0,7633377	0,1481218
420	0,7569119	0,8285052	0,6135658	0,8774586	0,0286753	0,4633057	0,0867499	1,0231808	0,4333463	0,0734149	0,8589817	0,3531491	0,4429536	0,9409544	0,7379162	0,1451162
440	0,7822576	0,8069957	0,5237933	0,8802596	0,0385491	0,4556891	0,1088415	1,0195609	0,4343877	0,1002398	0,8269693	0,3711062	0,4494139	1,0063329	0,7871191	0,1412734
460	0,8733726	0,8114565	0,6237302	0,8418788	0,0497695	0,4512042	0,0692446	0,9787647	0,4305015	0,0710668	0,7887116	0,3585657	0,5331208	1,0894198	0,7274566	0,1362368
