"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB
980	0,8649745	0,7680326	1,1938675	0,1339156	1,0372191	0,1622329	0,3888691	1,0196041	0,0552079	0,2765817	0,9572609	0,6833213	0,9845744	0,5910537	0,6509067	0,9666831
1000	0,9238245	0,7896268	1,1217190	0,1445730	1,0246864	0,1343221	0,4472916	1,0166574	0,0498808	0,2713969	0,8823631	0,7030465	1,0079187	0,6232546	0,7673985	1,0675100
1020	0,8973610	0,7739174	1,1037536	0,1435235	1,0170638	0,1273394	0,4334822	1,0212905	0,0509305	0,2832352	0,9619719	0,7570440	0,9593053	0,6104224	0,7349556	1,0789740
1040	0,9389345	0,7478918	1,0042912	0,1629962	1,0464089	0,1410388	0,4576032	1,0386645	0,0349754	0,2680118	0,9047411	0,7421386	0,9351653	0,6369280	0,7454363	1,1077889
1060	0,9436589	0,7666418	1,0309687	0,1471467	1,1501308	0,1338126	0,4565905	1,0447697	0,0468761	0,2809556	0,8750573	0,6695680	0,9230633	0,6438598	0,7706741	1,1660257
1080	0,9706524	0,7118212	0,9544833	0,1427770	1,1591058	0,1435549	0,4487939	0,9917297	0,0477423	0,2968160	0,9246503	0,7058245	0,9525526	0,6231503	0,8152599	1,0186538
1100	0,9637591	0,6563859	0,9792053	0,1937483	1,1955436	0,1226282	0,4876256	0,9761023	0,0325622	0,3340566	0,9283023	0,6618405	0,9576517	0,5522638	0,8198079	1,0441264

0	0,9851113	0,7709064	0,9353354	0,2619588	1,0274794	0,1513846	0,4665870	1,0168457	0,0490436	0,3415107	0,8923247	0,7036610	0,8218056	0,6315514	0,7238413	1,0794851
20	0,9740460	0,7213002	0,8030955	0,2185004	1,0164714	0,1232325	0,4939592	1,0436744	0,1093819	0,3116779	0,8889947	0,5848477	0,8921635	0,7227196	0,7457730	0,8732494
40	0,9479751	0,7465069	0,6917800	0,2099426	0,9908660	0,1180093	0,5121929	0,8518251	0,1063466	0,3367766	0,8239428	0,5280991	0,8398676	0,6456939	0,7439034	0,9273626
60	0,9632547	0,7552650	0,5755323	0,2516910	0,9771501	0,1102249	0,5227118	0,6539934	0,1166359	0,3515017	0,8981316	0,5210640	0,7361237	0,5995633	0,7420505	0,9488240
80	1,0241953	0,7842423	0,4902629	0,3386899	0,9818487	0,0755636	0,5766533	0,4755994	0,1289228	0,3467855	0,8969596	0,4831880	0,7264118	0,6129681	0,7267755	0,9449631
100	1,0775435	0,7664350	0,4668671	0,3651347	0,9341883	0,0475145	0,5688682	0,3678960	0,1374961	0,3789546	0,9350866	0,4056573	0,6921974	0,6169878	0,7296923	0,9808236
120	0,9896078	0,7327714	0,4409294	0,4301447	0,9648792	0,0440395	0,5727583	0,2745023	0,1697056	0,4610897	1,0000631	0,3348266	0,7277266	0,6689870	0,7229298	0,9842580
140	0,9804638	0,6911185	0,4434027	0,4070284	0,9736449	0,0315582	0,5111041	0,1894759	0,1819684	0,4320075	0,9559391	0,2743969	0,8097446	0,6790413	0,7823182	1,0410511
160	0,9197731	0,6349916	0,4380621	0,4456847	0,9900900	0,0149968	0,4945085	0,1221010	0,2036906	0,4507346	0,9277908	0,2269383	0,8490471	0,6058826	0,7359506	1,0205149
180	0,9071237	0,7166026	0,3954152	0,4663410	0,9747480	0,0268966	0,5009822	0,0857437	0,2046148	0,4800130	0,8853882	0,2072398	0,9125774	0,6322851	0,7475860	0,9926039
200	0,9660373	0,6687977	0,3739140	0,5035180	1,0108756	0,0207741	0,4711964	0,0766394	0,2526414	0,5231973	0,8206744	0,1961912	0,8281089	0,6300248	0,7481566	1,0127995
220	0,9629099	0,6663354	0,3493333	0,5107636	1,0663871	0,0056019	0,4860848	0,0484053	0,2567355	0,5414930	0,7484444	0,1796666	0,8189069	0,5933640	0,7267878	1,0685206
240	1,0430193	0,6906530	0,2880567	0,5501930	1,0370312	0,0050280	0,4631816	0,0478050	0,3002445	0,6297666	0,8112016	0,1586894	0,7849705	0,5925740	0,7585233	1,0358141
260	1,0305054	0,6455505	0,2732219	0,5941936	0,9967955	0,0035958	0,4992625	0,0464966	0,3457358	0,6809517	0,8193826	0,1513321	0,7142428	0,5974832	0,7473066	0,9831803
280	0,9848588	0,6249095	0,3099388	0,7209887	1,0399051	0,0043200	0,4704655	0,0512403	0,4177807	0,7294339	0,8820780	0,1536116	0,7262415	0,5545463	0,7470524	0,9469863
300	1,0179510	0,6056784	0,3156701	0,8315050	0,9621854	0,0039564	0,4640732	0,0441093	0,4804349	0,7448858	0,8993347	0,1187863	0,7516655	0,6228776	0,7823449	0,9520971
320	1,0950567	0,5932650	0,3890205	0,7911670	1,0112923	0,0024795	0,4435194	0,0422873	0,5099997	0,7845643	0,9138657	0,0844535	0,7239388	0,5740590	0,7392528	0,9630827
340	1,0601310	0,6311526	0,3857697	0,7321993	0,9534477	0,0030156	0,4303262	0,0248168	0,4841351	0,7284167	0,9268375	0,0662236	0,6852294	0,5848771	0,6886499	0,9513436
360	1,0942504	0,6293423	0,3488896	0,7389916	1,0390278	0,0029335	0,4835584	0,0250426	0,4302263	0,6703941	0,9217049	0,0435140	0,6994609	0,5129832	0,7009996	0,9031399
380	1,0627407	0,6405256	0,3461129	0,6413947	1,0729354	0,0044764	0,4828599	0,0230238	0,4174060	0,6396303	0,8999660	0,0517853	0,7327688	0,5373173	0,7346450	0,8979815
400	1,0383397	0,6240100	0,3353024	0,6763815	1,0930448	0,0015902	0,4317993	0,0136611	0,3834219	0,6809287	0,9091301	0,0313123	0,7005419	0,5291309	0,7359505	0,8962098
420	1,0775973	0,5719507	0,2887622	0,7037234	1,1045343	0,0040678	0,4253177	0,0191563	0,3907058	0,6997844	0,9706101	0,0336590	0,7227524	0,5713587	0,7732356	0,8558818
440	0,9984335	0,5083911	0,2713346	0,6768314	1,0349012	0,0016315	0,4812500	0,0212300	0,4640530	0,7132346	0,9395520	0,0387628	0,6388706	0,5350982	0,7138900	0,8553313
460	1,0126748	0,5207162	0,2984809	0,6781429	0,9763955	0,0006614	0,5657816	0,0088298	0,5385815	0,7470351	0,9235188	0,0567249	0,5675552	0,4986989	0,7398751	0,8699348
480	0,9797484	0,5444709	0,3002485	0,7016920	0,9863609	0,0020118	0,5161443	0,0101449	0,5388868	0,7833234	0,8851099	0,0642148	0,5882119	0,5087167	0,6835937	0,8852432
