"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF
300	0,6650847	0,0368645	0,3169050	0,2368285	0,7670618	0,7417483	0,8482826	0,8698507	0,3027222	0,0419349	0,0715179	0,2292331	0,0017719	0,1445866	0,1045295	0,2022681
320	0,7514747	0,0319561	0,2943795	0,1992956	0,7309969	0,8091747	0,7409095	0,6720302	0,2794528	0,1338287	0,0614587	0,2346316	0,0040653	0,1465117	0,1058855	0,2754888
340	0,6366705	0,0467782	0,3373683	0,2140214	0,6940937	0,8442426	0,8017986	0,7925020	0,2526311	0,0714234	0,0409431	0,2382477	0,0042511	0,2563187	0,1304938	0,1734965
360	0,6755872	0,0323866	0,2758056	0,2140412	0,7631050	0,6991190	0,7246318	0,7493642	0,2462197	0,0844373	0,0566126	0,2486931	0,0082604	0,2193885	0,1303762	0,1626153
380	0,6123555	0,0142301	0,2398378	0,1894080	0,7336360	0,7029046	0,8068225	1,0323523	0,1820895	0,0881816	0,0635218	0,2451579	0,0047916	0,1372654	0,0828619	0,2050911
400	0,6351897	0,0439069	0,2870457	0,1996504	0,7776408	0,6826055	0,8768423	0,7797060	0,1955969	0,0540936	0,0760190	0,2378559	0,0044270	0,2400224	0,0741839	0,1848332
420	0,5293774	0,0297923	0,2407746	0,1606987	0,7007306	0,5755268	0,7842480	0,8214583	0,1716447	0,0462112	0,0338323	0,1629786	0,0303063	0,2596113	0,0689314	0,2149293
440	0,6547042	0,0395664	0,2751395	0,1335707	0,6618389	0,6030687	0,6077366	1,0099434	0,1800037	0,0529807	0,0473285	0,2474268	0,0134232	0,2078044	0,0577093	0,1981396
460	0,5917012	0,0337175	0,3083690	0,2100153	0,6220554	0,6346342	0,7597028	0,7885246	0,1218455	0,0845994	0,0753461	0,2648488	0,0087364	0,2098608	0,0591650	0,2267420
480	0,5495069	0,0581062	0,3886305	0,2154609	0,5798138	0,7419404	0,8537941	0,6875222	0,1269879	0,0882871	0,0387121	0,3021518	0,0011534	0,1320732	0,0727323	0,2432455
