"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD
280	0,6359090	0,3925835	0,3743395	0,7177042	0,6551944	0,7595131	0,9338485	0,5094909	0,6165554	0,7914207	0,7975271	0,3297050	0,8337937	0,1970002	0,9025750	0,2224710
300	0,6561900	0,3681574	0,3321640	0,7449445	0,6959558	0,7655038	0,9523971	0,4930024	0,5794085	0,7295904	0,8245816	0,2988605	0,8348550	0,1804871	0,8949831	0,2482388
320	0,6574382	0,3698242	0,3134819	0,8088351	0,6888278	0,8350461	0,9688978	0,4671418	0,6090070	0,7593221	0,8174729	0,3482038	0,7770356	0,1951024	0,8719699	0,2531730
340	0,7203702	0,3514637	0,3457338	0,7960950	0,7383570	0,8484303	0,9064437	0,4545955	0,5898847	0,7899562	0,8956727	0,3971605	0,7518558	0,1825186	0,8801766	0,2630190
360	0,6631556	0,3380769	0,3153182	0,8086657	0,7253494	0,8584416	0,8150231	0,4474878	0,5782139	0,8184499	0,8414030	0,3955518	0,7526650	0,1574295	0,9134127	0,2581613
380	0,7268825	0,3218040	0,3804441	0,8256217	0,7113166	0,8438622	0,7988411	0,5204789	0,5546999	0,8321032	0,8286233	0,3861582	0,7519885	0,1661439	0,9628676	0,2498864
400	0,6815617	0,3133842	0,3392209	0,8290023	0,6622064	0,8392165	0,7869975	0,4866253	0,5531985	0,8963445	0,8098420	0,3973760	0,7189745	0,2074372	0,9830281	0,2470457
420	0,6270024	0,2866300	0,3476458	0,8681405	0,6760027	0,8316522	0,7583010	0,4813860	0,5062306	0,9440288	0,8046022	0,3925077	0,6979495	0,1953405	0,9581033	0,2246818
440	0,5970603	0,2866421	0,2790414	0,8089876	0,7530043	0,7647059	0,7735983	0,5049746	0,4674868	0,9379190	0,7223083	0,3813051	0,6837696	0,1566256	0,9510626	0,2338124
460	0,7252739	0,2627716	0,3352008	0,7707817	0,7214749	0,7566484	0,8394048	0,5598567	0,4646891	0,9586286	0,7829380	0,3554625	0,6892766	0,1689423	0,8899245	0,2230371
